"mir146","miR_130_301_454","intersected"
"ABL2","ACVR1","APPL1"
"ABL2","ACVR1","ERBB4"
"ABL2","ACVR1","NFATC2"
"ABL2","ACVR1","PIK3CB"
"ABL2","ACVR1","POU3F2"
"ABL2","ACVR1","ROBO1"
"APPL1","ACVR1C","STC1"
"APPL1","ACVR1C",NA
"APPL1","APCDD1",NA
"BMPR1A","APCDD1",NA
"BMPR1A","APCDD1",NA
"CARD10","APPL1",NA
"CARD10","APPL1",NA
"CRKL","APPL1",NA
"DCX","ARHGAP35",NA
"DCX","ARHGAP35",NA
"DCX","ARID4B",NA
"EDNRB","ARID4B",NA
"EDNRB","ARID4B",NA
"EDNRB","ARID5B",NA
"EDNRB","ARID5B",NA
"ERBB4","ARID5B",NA
"ERBB4","ARX",NA
"ERBB4","ARX",NA
"ERBB4","BARHL2",NA
"FUT10","BARHL2",NA
"GDNF","BMPR2",NA
"GDNF","BMPR2",NA
"GDNF","BMPR2",NA
"GDNF","BTG1",NA
"GDNF","BTG1",NA
"GDNF","CCDC88A",NA
"KLF4","CCDC88A",NA
"KLF4","CD2AP",NA
"KLF4","CD2AP",NA
"KLF4","CD2AP",NA
"LGALS8","CDH20",NA
"LRIG2","CDH20",NA
"LRRC15","CDH20",NA
"LRRC15","CSF1",NA
"LRRC15","CSF1",NA
"LRRC15","CSF1",NA
"LRRC15","CSF1",NA
"LRRC15","CUL3",NA
"MARK1","CUL3",NA
"MARK1","CUL3",NA
"MARK1","CUL3",NA
"NF2","CUL3",NA
"NF2","DLC1",NA
"NF2","DLC1",NA
"NFATC2","DLC1",NA
"NFATC2","DLG5",NA
"NOTCH1","DLG5",NA
"NRP2","DLG5",NA
"NRP2","EDN1",NA
"NRP2","EDN1",NA
"NRP2","EDN1",NA
"NUMB","EFNB2",NA
"NUMB","EFNB2",NA
"NUMB","EFNB2",NA
"NUMB","EGR3",NA
"PARD6B","EGR3",NA
"PARD6B","EMX2",NA
"PHOX2B","EMX2",NA
"PHOX2B","EMX2",NA
"PHOX2B","EPHB4",NA
"PHOX2B","EPHB4",NA
"PHOX2B","ERBB4",NA
"PIK3CB","ERBB4",NA
"PIK3CB","ERBB4",NA
"PIK3CB","F3",NA
"PIK3CB","F3",NA
"POU3F2","FAT3",NA
"POU3F2","FAT3",NA
"POU3F2","FAT3",NA
"POU3F2","FAT3",NA
"PRCP","FBXW11",NA
"PRCP","FBXW11",NA
"PRCP","FBXW11",NA
"PRCP","FERMT2",NA
"PSEN1","FERMT2",NA
"PSEN1","FERMT2",NA
"ROBO1","FGF10",NA
"ROBO1","FMNL3",NA
"ROBO1","FMNL3",NA
"ROBO1","FOXP1",NA
"ROBO1","FOXP1",NA
"ROBO1","FOXP1",NA
"SEMA3G","FYN",NA
"SEMA3G","FYN",NA
"SEMA3G","FYN",NA
"SEMA3G","FZD3",NA
"SLAMF8","FZD3",NA
"SLAMF8","GADD45A",NA
"SMAD4","GADD45A",NA
"SMAD4","GBX2",NA
"SMAD4","GBX2",NA
"SMAD4","GJA1",NA
"STC1","GJA1",NA
"STC1","GJA1",NA
"STC1","GJA1",NA
"STC1","GPC6",NA
"UNC5D","GPC6",NA
"WASF2","GRB10",NA
"WASF2","GRB10",NA
"WASF2","GRB10",NA
"WASF2","HOOK3",NA
"WWC2","HOOK3",NA
"WWC2","HOXA5",NA
NA,"HOXA5",NA
NA,"HOXA5",NA
NA,"IGF1",NA
NA,"IGF1",NA
NA,"IGF1",NA
NA,"IGF1",NA
NA,"IGF1",NA
NA,"IGF1",NA
NA,"IGFBP5",NA
NA,"IGFBP5",NA
NA,"IGFBP5",NA
NA,"ING1",NA
NA,"ING1",NA
NA,"ING1",NA
NA,"ITGA11",NA
NA,"ITGA11",NA
NA,"ITGA4",NA
NA,"ITGA4",NA
NA,"ITGB8",NA
NA,"ITGB8",NA
NA,"KIAA0319L",NA
NA,"KIAA0319L",NA
NA,"KIT",NA
NA,"KIT",NA
NA,"KIT",NA
NA,"LAMC1",NA
NA,"LAMC1",NA
NA,"LDLRAD4",NA
NA,"LDLRAD4",NA
NA,"LDLRAD4",NA
NA,"LRCH1",NA
NA,"LRCH1",NA
NA,"LRCH1",NA
NA,"LRP12",NA
NA,"LRP12",NA
NA,"LRP12",NA
NA,"MAP1B",NA
NA,"MAP1B",NA
NA,"MAP1B",NA
NA,"MAP4K4",NA
NA,"MAP4K4",NA
NA,"MAP4K4",NA
NA,"MCC",NA
NA,"MCC",NA
NA,"MCTP1",NA
NA,"MCTP1",NA
NA,"MCTP1",NA
NA,"MECP2",NA
NA,"MECP2",NA
NA,"MECP2",NA
NA,"MECP2",NA
NA,"MEOX2",NA
NA,"MEOX2",NA
NA,"MEOX2",NA
NA,"MEOX2",NA
NA,"MEOX2",NA
NA,"MEOX2",NA
NA,"MET",NA
NA,"MET",NA
NA,"MET",NA
NA,"NCKAP1",NA
NA,"NCKAP1",NA
NA,"NDEL1",NA
NA,"NDEL1",NA
NA,"NFATC2",NA
NA,"NFATC2",NA
NA,"NFATC2",NA
NA,"NHLH2",NA
NA,"NHLH2",NA
NA,"NHLH2",NA
NA,"NRP1",NA
NA,"NRP1",NA
NA,"NRP1",NA
NA,"NUS1",NA
NA,"NUS1",NA
NA,"PAFAH1B1",NA
NA,"PAFAH1B1",NA
NA,"PAX6",NA
NA,"PAX6",NA
NA,"PDGFRA",NA
NA,"PDGFRA",NA
NA,"PDGFRA",NA
NA,"PFN2",NA
NA,"PFN2",NA
NA,"PFN2",NA
NA,"PHACTR4",NA
NA,"PHACTR4",NA
NA,"PIK3C2A",NA
NA,"PIK3C2A",NA
NA,"PIK3C2A",NA
NA,"PIK3C2A",NA
NA,"PIK3CB",NA
NA,"PIK3CB",NA
NA,"PIK3CB",NA
NA,"PIK3CB",NA
NA,"PIK3CB",NA
NA,"PIK3CB",NA
NA,"PLAA",NA
NA,"PLAA",NA
NA,"POU3F2",NA
NA,"POU3F2",NA
NA,"POU4F1",NA
NA,"POU4F1",NA
NA,"PPARG",NA
NA,"PPARG",NA
NA,"PPARG",NA
NA,"PRKG1",NA
NA,"PRKG1",NA
NA,"PRNP",NA
NA,"PROX1",NA
NA,"PROX1",NA
NA,"PRPF40A",NA
NA,"PRR14L",NA
NA,"PRR5L",NA
NA,"PRRG4",NA
NA,"PTEN",NA
NA,"PTEN",NA
NA,"PTEN",NA
NA,"PTEN",NA
NA,"PTEN",NA
NA,"PTEN",NA
NA,"PTEN",NA
NA,"PTEN",NA
NA,"PTGES3",NA
NA,"PTP4A1",NA
NA,"PTPN14",NA
NA,"PTPRG",NA
NA,"PTPRG",NA
NA,"PTPRG",NA
NA,"PTPRJ",NA
NA,"PTPRJ",NA
NA,"PTPRM",NA
NA,"PTPRM",NA
NA,"PTPRM",NA
NA,"PURG",NA
NA,"RAB1A",NA
NA,"RAB30",NA
NA,"RAP2C",NA
NA,"RAP2C",NA
NA,"RAP2C",NA
NA,"RAP2C",NA
NA,"RAP2C",NA
NA,"RAPGEF4",NA
NA,"RASGEF1A",NA
NA,"RASGEF1A",NA
NA,"RASGRF2",NA
NA,"RDX",NA
NA,"RDX",NA
NA,"REEP1",NA
NA,"RND2",NA
NA,"RNF103-CHMP3",NA
NA,"ROBO1",NA
NA,"ROBO2",NA
NA,"ROCK2",NA
NA,"ROCK2",NA
NA,"RORB",NA
NA,"S1PR1",NA
NA,"S1PR1",NA
NA,"S1PR2",NA
NA,"SASH1",NA
NA,"SASH1",NA
NA,"SATB1",NA
NA,"SATB2",NA
NA,"SATB2",NA
NA,"SBF2",NA
NA,"SCUBE3",NA
NA,"SIX4",NA
NA,"SKIDA1",NA
NA,"SLMAP",NA
NA,"SMOC2",NA
NA,"SMOC2",NA
NA,"SMURF2",NA
NA,"SMURF2",NA
NA,"SMURF2",NA
NA,"SNAP25",NA
NA,"SP1",NA
NA,"SPATA2",NA
NA,"SPOCK1",NA
NA,"SPOPL",NA
NA,"SPRED1",NA
NA,"SPRED1",NA
NA,"SPRY4",NA
NA,"SRGAP3",NA
NA,"SRPK2",NA
NA,"STARD13",NA
NA,"STAT3",NA
NA,"STAT3",NA
NA,"STC1",NA
NA,"STC1",NA
NA,"STC1",NA
NA,"STIM2",NA
NA,"SULF1",NA
NA,"SULF1",NA
NA,"SULF1",NA
NA,"SULF1",NA
NA,"SULF1",NA
NA,"SUV39H1",NA
NA,"TGFB2",NA
NA,"TGFB2",NA
NA,"TGFBR1",NA
NA,"TGFBR1",NA
NA,"TGFBR1",NA
NA,"TGFBR2",NA
NA,"TGFBR2",NA
NA,"TGFBR2",NA
NA,"TGFBRAP1",NA
NA,"TNFRSF1B",NA
NA,"TRIM2",NA
NA,"USP33",NA
NA,"USP44",NA
NA,"VAV2",NA
NA,"VCPIP1",NA
NA,"WASL",NA
NA,"WASL",NA
NA,"WDFY2",NA
NA,"WDR47",NA
NA,"WDR47",NA
NA,"WDR7",NA
NA,"WNK1",NA
NA,"WNK3",NA
NA,"ZEB2",NA
NA,"ZEB2",NA
NA,"ZFAND5",NA
NA,"ZFAND5",NA
NA,"ZFC3H1",NA
NA,"ZNF609",NA
NA,"ZNF652",NA
